readName,AGG,CGG,totalLength
m54006_190802_093121/40239238/ccs/300_390,2,27,90
m54006_190802_093121/49087244/ccs/296_386,2,27,90
m54006_190802_093121/13042353/ccs/295_385,2,27,90
m54006_190802_093121/32833897/ccs/295_385,2,27,90
m54006_190802_093121/20381843/ccs/295_386,2,28,91
m54006_190802_093121/21365353/ccs/295_386,2,28,91
m54006_190802_093121/22347857/ccs/295_386,2,28,91
m54006_190802_093121/23724667/ccs/295_386,2,28,91
m54006_190802_093121/23920717/ccs/296_387,2,28,91
m54006_190802_093121/24314125/ccs/295_386,2,28,91
m54006_190802_093121/24314691/ccs/295_386,2,28,91
m54006_190802_093121/12255749/ccs/296_387,2,28,91
m54006_190802_093121/12517742/ccs/296_387,2,28,91
m54006_190802_093121/12583507/ccs/295_386,2,28,91
m54006_190802_093121/12976267/ccs/297_388,2,28,91
m54006_190802_093121/13566418/ccs/295_386,2,28,91
m54006_190802_093121/16908970/ccs/294_385,2,28,91
m54006_190802_093121/17498685/ccs/297_388,2,28,91
m54006_190802_093121/5439687/ccs/295_386,2,28,91
m54006_190802_093121/6750973/ccs/295_386,2,28,91
m54006_190802_093121/7144007/ccs/295_386,2,28,91
m54006_190802_093121/7209140/ccs/295_386,2,28,91
m54006_190802_093121/9437473/ccs/297_388,2,28,91
m54006_190802_093121/11469109/ccs/296_387,2,28,91
m54006_190802_093121/11731663/ccs/296_387,2,28,91
m54006_190802_093121/11862483/ccs/295_386,2,28,91
m54006_190802_093121/11928307/ccs/295_386,2,28,91
m54006_190802_093121/32375331/ccs/295_386,2,28,91
m54006_190802_093121/33161330/ccs/296_387,2,28,91
m54006_190802_093121/33686017/ccs/295_386,2,28,91
m54006_190802_093121/34079285/ccs/295_386,2,28,91
m54006_190802_093121/35062219/ccs/297_388,2,28,91
m54006_190802_093121/35127911/ccs/295_386,2,28,91
m54006_190802_093121/35914500/ccs/295_386,2,28,91
m54006_190802_093121/36504437/ccs/296_387,2,28,91
m54006_190802_093121/37290269/ccs/295_386,2,28,91
m54006_190802_093121/37552877/ccs/295_386,2,28,91
m54006_190802_093121/37617924/ccs/295_386,2,28,91
m54006_190802_093121/38470314/ccs/295_386,2,28,91
m54006_190802_093121/39780702/ccs/295_386,2,28,91
m54006_190802_093121/40174147/ccs/295_386,2,28,91
m54006_190802_093121/40370990/ccs/295_386,2,28,91
m54006_190802_093121/40632971/ccs/295_386,2,28,91
m54006_190802_093121/41943675/ccs/295_386,2,28,91
m54006_190802_093121/42336345/ccs/295_386,2,28,91
m54006_190802_093121/42861048/ccs/295_386,2,28,91
m54006_190802_093121/44630344/ccs/295_386,2,28,91
m54006_190802_093121/24969591/ccs/295_386,2,28,91
m54006_190802_093121/25100943/ccs/295_386,2,28,91
m54006_190802_093121/25756326/ccs/295_386,2,28,91
m54006_190802_093121/26935429/ccs/295_386,2,28,91
