readName,AGG,CGG,totalLength
m54006_190802_093121/20120131/ccs/295_386,2,28,91
m54006_190802_093121/20448018/ccs/295_386,2,28,91
m54006_190802_093121/20709842/ccs/296_387,2,28,91
m54006_190802_093121/23790266/ccs/295_386,2,28,91
m54006_190802_093121/24314091/ccs/295_386,2,28,91
m54006_190802_093121/24838222/ccs/295_386,2,28,91
m54006_190802_093121/26345613/ccs/295_386,2,28,91
m54006_190802_093121/19530418/ccs/295_386,2,28,91
m54006_190802_093121/36963113/ccs/295_386,2,28,91
m54006_190802_093121/37028293/ccs/296_387,2,28,91
m54006_190802_093121/38273249/ccs/295_386,2,28,91
m54006_190802_093121/38404210/ccs/295_386,2,28,91
m54006_190802_093121/38929038/ccs/295_386,2,28,91
m54006_190802_093121/40108748/ccs/295_386,2,28,91
m54006_190802_093121/40239905/ccs/295_386,2,28,91
m54006_190802_093121/40567643/ccs/295_386,2,28,91
m54006_190802_093121/40698726/ccs/295_386,2,28,91
m54006_190802_093121/41026093/ccs/295_386,2,28,91
m54006_190802_093121/28574105/ccs/295_386,2,28,91
m54006_190802_093121/28705094/ccs/295_386,2,28,91
m54006_190802_093121/31130468/ccs/295_386,2,28,91
m54006_190802_093121/31654730/ccs/295_386,2,28,91
m54006_190802_093121/31982556/ccs/295_386,2,28,91
m54006_190802_093121/32441058/ccs/296_387,2,28,91
m54006_190802_093121/32571629/ccs/295_386,2,28,91
m54006_190802_093121/33948339/ccs/295_386,2,28,91
m54006_190802_093121/35127363/ccs/295_386,2,28,91
m54006_190802_093121/35783413/ccs/295_386,2,28,91
m54006_190802_093121/6881684/ccs/295_386,2,28,91
m54006_190802_093121/8388842/ccs/295_386,2,28,91
m54006_190802_093121/11207202/ccs/295_386,2,28,91
m54006_190802_093121/11797152/ccs/296_387,2,28,91
m54006_190802_093121/54657260/ccs/295_386,2,28,91
m54006_190802_093121/56426888/ccs/294_385,2,28,91
m54006_190802_093121/60555527/ccs/295_386,2,28,91
m54006_190802_093121/61276724/ccs/297_388,2,28,91
m54006_190802_093121/62063340/ccs/295_386,2,28,91
m54006_190802_093121/45941366/ccs/300_391,2,28,91
m54006_190802_093121/47972626/ccs/295_386,2,28,91
m54006_190802_093121/63636095/ccs/295_386,2,28,91
m54006_190802_093121/63636343/ccs/296_387,2,28,91
m54006_190802_093121/64225876/ccs/295_386,2,28,91
m54006_190802_093121/64553955/ccs/295_386,2,28,91
m54006_190802_093121/65012382/ccs/293_384,2,28,91
m54006_190802_093121/66847078/ccs/295_386,2,28,91
m54006_190802_093121/68026786/ccs/295_386,2,28,91
m54006_190802_093121/71172576/ccs/295_386,2,28,91
m54006_190802_093121/71434585/ccs/295_386,2,28,91
m54006_190802_093121/20185172/ccs/295_386,2,28,91
m54006_190802_093121/20710225/ccs/295_386,2,28,91
m54006_190802_093121/20972432/ccs/295_386,2,28,91
m54006_190802_093121/23789823/ccs/296_387,2,28,91
m54006_190802_093121/24314040/ccs/295_386,2,28,91
m54006_190802_093121/25231864/ccs/295_386,2,28,91
m54006_190802_093121/12059479/ccs/295_386,2,28,91
m54006_190802_093121/12124520/ccs/295_386,2,28,91
m54006_190802_093121/12190035/ccs/295_386,2,28,91
m54006_190802_093121/13894320/ccs/295_386,2,28,91
m54006_190802_093121/14549545/ccs/295_386,2,28,91
m54006_190802_093121/15728846/ccs/295_386,2,28,91
m54006_190802_093121/16777396/ccs/295_386,2,28,91
m54006_190802_093121/18219597/ccs/295_386,2,28,91
m54006_190802_093121/19399126/ccs/295_386,2,28,91
m54006_190802_093121/41157125/ccs/295_386,2,28,91
m54006_190802_093121/42074507/ccs/295_386,2,28,91
m54006_190802_093121/43123288/ccs/295_386,2,28,91
m54006_190802_093121/44630779/ccs/295_386,2,28,91
m54006_190802_093121/28770662/ccs/297_388,2,28,91
m54006_190802_093121/30409712/ccs/295_386,2,28,91
m54006_190802_093121/31195613/ccs/295_386,2,28,91
m54006_190802_093121/32768433/ccs/295_386,2,28,91
m54006_190802_093121/33948542/ccs/295_386,2,28,91
m54006_190802_093121/34276210/ccs/295_386,2,28,91
m54006_190802_093121/5374330/ccs/295_386,2,28,91
m54006_190802_093121/5963974/ccs/295_386,2,28,91
m54006_190802_093121/6226407/ccs/295_386,2,28,91
m54006_190802_093121/8519860/ccs/295_386,2,28,91
m54006_190802_093121/9175669/ccs/295_386,2,28,91
m54006_190802_093121/10158363/ccs/295_386,2,28,91
m54006_190802_093121/11927737/ccs/296_387,2,28,91
m54006_190802_093121/55968036/ccs/295_386,2,28,91
m54006_190802_093121/58000015/ccs/295_386,2,28,91
m54006_190802_093121/61604024/ccs/295_386,2,28,91
m54006_190802_093121/62063065/ccs/295_386,2,28,91
m54006_190802_093121/44892976/ccs/295_386,2,28,91
m54006_190802_093121/45351764/ccs/294_385,2,28,91
m54006_190802_093121/45941219/ccs/295_386,2,28,91
m54006_190802_093121/46006743/ccs/295_386,2,28,91
m54006_190802_093121/46138192/ccs/294_385,2,28,91
m54006_190802_093121/46399758/ccs/296_387,2,28,91
m54006_190802_093121/47710642/ccs/295_386,2,28,91
m54006_190802_093121/51773708/ccs/294_385,2,28,91
m54006_190802_093121/73531906/ccs/295_386,2,28,91
m54006_190802_093121/69206636/ccs/295_386,2,28,91
m54006_190802_093121/69337491/ccs/295_386,2,28,91
m54006_190802_093121/70320708/ccs/295_386,2,28,91
m54006_190802_093121/70582578/ccs/295_386,2,28,91
m54006_190802_093121/73007643/ccs/297_388,2,28,91
m54006_190802_093121/47907800/ccs/294_385,2,28,91
m54006_190802_093121/13042653/ccs/294_385,2,28,91
m54006_190802_093121/4588403/ccs/294_385,2,28,91
m54006_190802_093121/19923813/ccs/299_391,2,28,92
m54006_190802_093121/68616344/ccs/297_389,2,28,92
m54006_190802_093121/71827631/ccs/298_390,2,28,92
m54006_190802_093121/72417515/ccs/295_387,2,27,92
m54006_190802_093121/22872647/ccs/295_387,2,28,92
m54006_190802_093121/28311667/ccs/299_391,2,28,92
m54006_190802_093121/40108708/ccs/296_388,2,28,92
m54006_190802_093121/4195118/ccs/295_387,2,28,92
m54006_190802_093121/17957265/ccs/296_388,2,28,92
m54006_190802_093121/71500283/ccs/295_388,2,28,93
m54006_190802_093121/37225049/ccs/295_389,2,29,94
m54006_190802_093121/40239205/ccs/295_389,2,29,94
m54006_190802_093121/30802055/ccs/295_389,2,29,94
m54006_190802_093121/54591796/ccs/295_389,2,29,94
m54006_190802_093121/56754974/ccs/295_389,2,29,94
m54006_190802_093121/60490290/ccs/295_389,2,29,94
m54006_190802_093121/44892801/ccs/295_389,2,29,94
m54006_190802_093121/49807851/ccs/296_390,2,29,94
m54006_190802_093121/64618666/ccs/295_389,2,29,94
m54006_190802_093121/66650989/ccs/296_390,2,29,94
m54006_190802_093121/20709762/ccs/295_389,2,29,94
m54006_190802_093121/36438515/ccs/295_389,2,29,94
m54006_190802_093121/54920032/ccs/295_389,2,29,94
m54006_190802_093121/70648677/ccs/295_389,2,29,94
m54006_190802_093121/11338157/ccs/295_390,2,29,95
m54006_190802_093121/7078654/ccs/299_394,2,29,95
m54006_190802_093121/6750496/ccs/295_391,2,29,96
m54006_190802_093121/57213748/ccs/299_397,2,28,98
m54006_190802_093121/14287538/ccs/296_398,2,29,102
m54006_190802_093121/46072304/ccs/303_405,2,29,102
m54006_190802_093121/18350305/ccs/286_392,2,29,106
