readName,AGG,CGG,totalLength
m54006_190802_093121/44041198/ccs/295_383,1,28,88
m54006_190802_093121/12124363/ccs/296_384,2,27,88
m54006_190802_093121/48759557/ccs/298_388,1,28,90
m54006_190802_093121/44827570/ccs/296_386,2,27,90
m54006_190802_093121/51511622/ccs/298_389,1,29,91
m54006_190802_093121/7864479/ccs/295_386,2,28,91
m54006_190802_093121/8061265/ccs/295_386,2,28,91
m54006_190802_093121/8192182/ccs/295_386,1,29,91
m54006_190802_093121/8586042/ccs/295_386,1,29,91
m54006_190802_093121/8651687/ccs/296_387,2,28,91
m54006_190802_093121/5308706/ccs/295_386,1,29,91
m54006_190802_093121/5374283/ccs/295_386,1,29,91
m54006_190802_093121/5505685/ccs/295_386,2,28,91
m54006_190802_093121/6160850/ccs/295_386,2,28,91
m54006_190802_093121/6619325/ccs/295_386,1,29,91
m54006_190802_093121/9765788/ccs/295_386,2,28,91
m54006_190802_093121/10813752/ccs/295_386,1,29,91
m54006_190802_093121/11076105/ccs/297_388,1,29,91
m54006_190802_093121/11993993/ccs/295_386,2,28,91
m54006_190802_093121/12976972/ccs/295_386,1,29,91
m54006_190802_093121/13566194/ccs/295_386,2,28,91
m54006_190802_093121/13697788/ccs/295_386,1,29,91
m54006_190802_093121/13828569/ccs/295_386,2,28,91
m54006_190802_093121/14156557/ccs/295_386,2,28,91
m54006_190802_093121/14812074/ccs/295_386,1,29,91
m54006_190802_093121/15205324/ccs/295_386,2,28,91
m54006_190802_093121/15729340/ccs/295_386,1,29,91
m54006_190802_093121/17629257/ccs/295_386,1,29,91
m54006_190802_093121/18416441/ccs/295_386,1,29,91
m54006_190802_093121/21234506/ccs/295_386,2,28,91
m54006_190802_093121/21824192/ccs/296_387,2,28,91
m54006_190802_093121/22938401/ccs/296_387,1,29,91
m54006_190802_093121/23331364/ccs/295_386,2,28,91
m54006_190802_093121/24183592/ccs/296_387,1,29,91
m54006_190802_093121/24445734/ccs/295_386,1,29,91
m54006_190802_093121/24969338/ccs/295_386,1,29,91
m54006_190802_093121/26083662/ccs/295_386,1,29,91
m54006_190802_093121/26739663/ccs/295_386,1,29,91
m54006_190802_093121/27066610/ccs/295_386,1,29,91
m54006_190802_093121/27460168/ccs/295_386,2,28,91
m54006_190802_093121/27853406/ccs/295_386,2,28,91
m54006_190802_093121/28770876/ccs/295_386,2,28,91
m54006_190802_093121/29164173/ccs/295_386,2,28,91
m54006_190802_093121/38601114/ccs/295_386,2,28,91
m54006_190802_093121/39452798/ccs/296_387,2,28,91
m54006_190802_093121/33882858/ccs/295_386,1,29,91
m54006_190802_093121/35193235/ccs/295_386,1,29,91
m54006_190802_093121/35324435/ccs/295_386,2,28,91
m54006_190802_093121/35913808/ccs/295_386,2,28,91
m54006_190802_093121/36176470/ccs/295_386,2,28,91
m54006_190802_093121/31719676/ccs/295_386,2,28,91
m54006_190802_093121/32178612/ccs/295_386,1,29,91
m54006_190802_093121/32309374/ccs/295_386,1,29,91
m54006_190802_093121/32571832/ccs/295_386,1,29,91
m54006_190802_093121/32965592/ccs/295_386,2,28,91
m54006_190802_093121/33489167/ccs/295_386,2,28,91
m54006_190802_093121/42468295/ccs/295_386,2,28,91
m54006_190802_093121/42729964/ccs/295_386,1,29,91
m54006_190802_093121/43450616/ccs/295_386,2,28,91
m54006_190802_093121/44696202/ccs/295_386,1,29,91
m54006_190802_093121/44957943/ccs/295_386,1,29,91
m54006_190802_093121/45089025/ccs/295_386,2,28,91
m54006_190802_093121/45810639/ccs/295_386,1,29,91
m54006_190802_093121/46268817/ccs/295_386,2,28,91
m54006_190802_093121/39715664/ccs/295_386,2,28,91
m54006_190802_093121/39977825/ccs/295_386,1,29,91
m54006_190802_093121/40632621/ccs/295_386,1,29,91
m54006_190802_093121/41550431/ccs/294_385,2,28,91
m54006_190802_093121/47972744/ccs/295_386,1,29,91
m54006_190802_093121/47973267/ccs/295_386,1,29,91
m54006_190802_093121/48169142/ccs/295_386,2,28,91
m54006_190802_093121/48628379/ccs/295_386,2,28,91
m54006_190802_093121/48693340/ccs/295_386,2,28,91
m54006_190802_093121/49152410/ccs/295_386,1,29,91
m54006_190802_093121/49152737/ccs/295_386,2,28,91
m54006_190802_093121/54329790/ccs/295_386,2,28,91
m54006_190802_093121/54592194/ccs/295_386,2,28,91
m54006_190802_093121/54853711/ccs/295_386,2,28,91
m54006_190802_093121/54919874/ccs/298_389,2,27,91
m54006_190802_093121/55575522/ccs/295_386,2,28,91
m54006_190802_093121/56950865/ccs/295_386,1,29,91
